Name,Distance from Changi Airport in km,Hotel Stars,District,Distance from centre in metres,Number of Reviews,Guest Rating,Price in SGD,Extra Fees,Final Price,Subway Access,Love Hotel
Classique Hotel,14.8,3,Lavender,2200,377,7.00,162,29,191,0,0
Park 22 Hotel Little India,15.6,3,Farrer Park,1900,325,7.70,212,21,233,1,0
Aqueen Heritage Hotel Little India,15.5,3,Farrer Park,1900,179,8.00,255,45,300,1,0
Fragrance Hotel - Classic,15.2,2,Novena,4000,252,7.10,145,26,171,0,1
RELC International Hotel,18.1,4,Orchard,3900,319,7.30,309,55,364,0,0
OYO 103 Hotel Fuji,12.1,2,Geylang,4200,244,6.80,260,26,286,0,0
Hotel 81 Osaka,18.2,2,Tiong Bahru,2000,433,7.30,270,48,318,0,1
Regin Hotel,12.8,3,Geylang,3700,82,6.40,180,13,193,0,0
Fragrance Hotel - Kovan,11.7,2,Kovan,7000,36,6.70,171,30,201,0,1
Hotel Kai,15.6,3,Bugis,800000,945,7.40,218,39,257,1,0
CUBE Family Boutique Capsule Hotel @ Chinatown,17.4,3,Chinatown,1300,216,7.40,251,25,276,1,0
Aqueen Hotel Jalan Besar,14.8,3,Lavender,2200,230,7.10,226,40,266,0,0
Hotel 81 Princess,12.6,2,Geylang,3800,"1,111",6.70,195,35,230,0,1
Arton Boutique Hotel,14.4,3,Lavender,2600,892,7.60,220,39,259,1,0
RedDoorz near Marine Parade Central,9.3,3,East Coast,7000,247,7.30,187,13,200,0,0
The Great Madras,15.5,4,Little India,1600,467,7.20,265,47,312,1,0
Sofitel Singapore City Centre,17.6,5,Tanjong Pagar,1800,235,9.10,560,99,659,1,0
Nostalgia Hotel,18.2,4,Tiong Bahru,2100,460,8.30,224,40,264,0,0
Hotel 81 Balestier,14.9,2,Novena,3500,179,6.90,211,37,248,0,1
ZEN Premium Kampong Glam,14.7,4,Kampong Glam,1800,400,8.60,382,68,450,1,0
Tai Hoe Hotel,14.9,2,Lavender,2300,832,7.20,209,37,246,1,0
Aqueen Hotel Lavender,14.3,3,Lavender,2600,290,7.00,226,40,266,1,0
